City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
456,del rio,29.3627,-100.8968,27.06,75,75,6.17,US,1683785897
457,nguruka,-5.1092,31.0419,19.71,91,100,1.41,TZ,1683785897
458,richards bay,-28.783,32.0377,19.77,84,0,3.36,ZA,1683785897
459,yorkton,51.2167,-102.4677,12.91,62,20,3.6,CA,1683785897
460,santa terezinha,-29.9002,-50.0904,13.81,86,9,5.05,BR,1683785897
461,port saint john's,-31.6229,29.5448,19.68,42,9,3.07,ZA,1683785898
462,sumbe,-11.2061,13.8437,24.53,84,38,2.79,AO,1683785898
463,cockburn town,21.4612,-71.1419,26.9,81,29,5.29,TC,1683785898
464,el calafate,-50.3408,-72.2768,5.8,88,59,1.13,AR,1683785898
465,sanctuary point,-35.1114,150.629,18.32,68,19,4.0,AU,1683785898
466,osh,40.5151,72.8083,27.36,23,0,2.0,KG,1683785898
467,baharly,38.4362,57.4316,25.63,43,67,1.94,TM,1683785899
468,kapuskasing,49.4169,-82.4331,9.05,70,40,1.54,CA,1683785899
469,dhidhdhoo,6.8833,73.1,28.58,79,68,3.58,MV,1683785899
470,taltal,-25.4,-70.4833,17.05,78,41,2.07,CL,1683785899
471,cheney,47.4874,-117.5758,10.18,77,0,1.54,US,1683785728
472,villa gesell,-37.2639,-56.973,11.14,66,90,5.05,AR,1683785900
473,amlapura,-8.45,115.6167,29.46,71,72,1.95,ID,1683785900
474,loikaw,19.6742,97.2094,33.8,36,100,1.78,MM,1683785900
475,raja,8.4596,25.678,27.19,60,76,2.85,SS,1683785900
476,coquimbo,-29.9533,-71.3436,12.85,94,100,1.54,CL,1683785900
477,el aouinet,35.8669,7.8867,14.37,83,85,0.49,DZ,1683785901
478,brookings,44.3114,-96.7984,17.0,87,100,5.14,US,1683785860
479,constantia,44.1833,28.65,13.38,63,0,4.55,RO,1683785901
480,miyaly,48.8844,53.7836,17.51,46,76,3.59,KZ,1683785901
481,ledec nad sazavou,49.6952,15.2777,14.27,72,98,5.03,CZ,1683785901
482,bridgewater,44.3835,-64.5155,8.82,61,93,2.06,CA,1683785666
483,vom,9.7333,8.7833,20.23,81,70,2.66,NG,1683785902
484,san juan nepomuceno,9.9516,-75.082,24.25,91,100,1.39,CO,1683785902
485,dunedin,-45.8742,170.5036,7.11,81,74,4.47,NZ,1683785902
486,cedral,23.8,-100.7333,22.45,15,0,1.27,MX,1683785902
487,den burg,53.0542,4.7972,11.67,95,100,2.06,NL,1683785902
488,novodvinsk,64.4165,40.8122,13.24,59,100,4.03,RU,1683785903
489,pak chong,14.708,101.4161,38.36,47,56,1.77,TH,1683785903
490,hilo,19.7297,-155.09,24.04,84,100,1.54,US,1683785903
491,tshabong,-26.05,22.45,15.83,41,14,3.71,BW,1683785903
492,nagqu,31.5,92.0,-1.18,64,100,3.14,CN,1683785903
493,lilongwe,-13.9669,33.7873,20.11,68,0,4.63,MW,1683785904
494,puerto baquerizo moreno,-0.9,-89.6,25.99,87,97,4.01,EC,1683785789
495,prince rupert,54.3161,-130.3201,10.83,75,100,7.72,CA,1683785904
496,pauini,-7.7136,-66.9764,22.29,88,100,1.16,BR,1683785904
497,manokwari,-0.8667,134.0833,27.78,80,99,1.83,ID,1683785904
498,chibougamau,49.9168,-74.3659,7.79,57,0,2.06,CA,1683785904
499,tokoroa,-38.2333,175.8667,7.75,90,61,0.89,NZ,1683785905
500,aral,40.5156,81.2636,27.01,6,2,5.56,CN,1683785905
501,laojunmiao,39.8333,97.7333,16.61,13,13,6.8,CN,1683785905
502,codrington,-38.2667,141.9667,16.99,55,4,5.21,AU,1683785905
503,juegang,32.3174,121.1855,20.88,46,81,1.47,CN,1683785905
504,kidal,18.4411,1.4078,28.24,14,81,5.46,ML,1683785906
505,chinde,26.8418,88.0763,29.46,12,0,3.71,NP,1683785906
506,kenai,60.5544,-151.2583,10.05,57,100,8.23,US,1683785906
507,mizdah,31.4451,12.9801,16.44,63,1,1.82,LY,1683785906
508,yabelo,4.8833,38.0833,17.25,78,100,3.82,ET,1683785906
509,san julian,21.0167,-102.1667,18.44,25,6,5.26,MX,1683785906
510,oulunsalo,64.9346,25.4112,12.04,47,0,4.12,FI,1683785907
511,priozersk,61.0393,30.1291,15.53,29,97,2.86,RU,1683785907
512,puerto ayacucho,5.6639,-67.6236,22.83,96,100,2.5,VE,1683785907
513,katsuren-haebaru,26.3369,127.8719,25.22,47,20,6.69,JP,1683785908
514,itaituba,-4.2761,-55.9836,23.26,99,100,0.6,BR,1683785908
515,marsa alam,25.0757,34.8918,29.26,36,0,3.63,EG,1683785908
516,tindouf,27.6711,-8.1474,28.09,15,66,1.84,DZ,1683785908
517,hanko,59.8333,22.95,13.97,79,71,3.97,FI,1683785908
518,ad dilam,23.9915,47.1627,36.23,10,36,4.41,SA,1683785908
519,valparaiso,-33.0393,-71.6273,15.0,65,0,1.54,CL,1683785909
520,el nido,11.1858,119.3956,30.38,67,92,3.42,PH,1683785909
521,kiffa,16.6166,-11.4045,35.05,16,88,3.85,MR,1683785909
522,pahokee,26.8201,-80.6653,25.02,75,1,3.01,US,1683785909
523,uri,34.0833,74.0333,23.91,24,31,3.1,IN,1683785909
524,novyy urgal,51.0736,132.5642,18.23,22,11,2.1,RU,1683785909
525,konarka,19.9,86.1167,36.22,56,99,4.47,IN,1683785910
526,gargalianoi,37.0667,21.6333,17.42,85,100,0.22,GR,1683785910
527,ortigueira,-24.2083,-50.9494,11.06,97,54,1.17,BR,1683785910
528,kudahuvadhoo,2.6708,72.8944,28.43,76,98,6.42,MV,1683785853
529,santo antonio do ica,-3.1022,-67.9397,22.85,100,100,0.7,BR,1683785910
530,prachatice,49.0129,13.9975,11.04,94,100,1.8,CZ,1683785911
531,axams,47.2081,11.2869,1.69,94,75,0.51,AT,1683785911
532,bim son,20.0781,105.8603,27.83,82,94,3.08,VN,1683785911
533,mancio lima,-7.6142,-72.8958,23.04,100,0,0.0,BR,1683785911
534,carlsbad,33.1581,-117.3506,15.56,85,0,0.45,US,1683785628
535,antonio enes,-16.2325,39.9086,24.01,82,72,2.81,MZ,1683785911
536,kalmunai,7.4167,81.8167,30.24,71,99,2.34,LK,1683785911
537,huilong,31.8111,121.655,20.19,49,88,2.15,CN,1683785912
538,al wafrah,28.6392,47.9306,33.24,13,71,6.53,KW,1683785912
539,bemidji,47.4736,-94.8803,16.42,84,0,1.54,US,1683785912
540,bayanhongor,46.7167,100.1167,10.08,39,83,8.66,MN,1683785912
541,egilsstadir,65.2653,-14.3948,7.95,71,75,3.6,IS,1683785913
542,eraan,9.0629,117.7016,30.31,69,68,2.57,PH,1683785913
543,pratapgarh,24.0333,74.7833,38.69,9,0,3.78,IN,1683785913
544,camiri,-20.05,-63.5167,14.98,96,98,0.94,BO,1683785913
545,mount gambier,-37.8333,140.7667,16.96,53,18,3.99,AU,1683785913
546,nicoya,10.1483,-85.452,27.21,72,63,0.93,CR,1683785913
547,vernon,50.2581,-119.2691,13.85,61,91,6.17,CA,1683785637
548,lerwick,60.1545,-1.1494,8.0,92,39,3.13,GB,1683785914
549,aldan,58.6031,125.3894,0.42,100,100,2.93,RU,1683785914
550,pacific grove,36.6177,-121.9166,12.03,82,100,3.13,US,1683785914
551,bentiu,9.2333,29.8333,31.2,44,16,3.84,SS,1683785914
552,conde,-7.2597,-34.9075,23.7,88,40,1.03,BR,1683785914
